,doc_name,qualifications,specialities,verification_label,practo_score,practo_votes,description,clinics
0,Dr. Nirav Agarwat,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Nirav Agarwat is an Ophthalmologist/ Eye Surgeon in Mira Road, Mumbai. Dr. Nirav Agarwat practices at Life Care Hospital - Mira Road in Mira Road, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Nirav Agarwat on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Mira Road', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '1St Floor,Poonam Arcade, Sheetal Nagar Road, Landmark : Opposite Church & Sneha Show Room, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/life-care-hospital-mira-road-mira-road', 'clinic_timings': ' MON - SAT 9:00 AM - 9:00 PM ', 'clinic_name': 'Life Care Hospital - Mira Road'}}"
1,Dr. Mukul Sharma,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Mukul Sharma is an Ophthalmologist/ Eye Surgeon in Andheri East, Mumbai. Dr. Mukul Sharma practices at Kripa Eye Clinic in Andheri East, Mumbai and Om Shanti Manav Kalyan Netralaya in Byculla, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Mukul Sharma on Practo.com.","{'1': {'city': 'Mumbai', 'locality': 'Byculla', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '6, Khambata House, Kham Batta Lane, Byculla East. Lamdmark:  Opposite Palace Cinema, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/om-shanti-manav-kalyan-netralaya-byculla', 'clinic_timings': ' MON - SAT 9:30 AM - 11:00 AM ', 'clinic_name': 'Om Shanti Manav Kalyan Netralaya'}, '0': {'city': 'Mumbai', 'locality': 'Andheri East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '1st Floor, #3, Nitya Priya Cooperative Housing Society, Nityanand Nagar 2, S N Marg, Andheri East, Landmark:  Opposite Vihar Punjab Hotel, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/kripa-eye-clinic-andheri-east', 'clinic_timings': ' MON - SAT 6:00 PM - 8:30 PM ', 'clinic_name': 'Kripa Eye Clinic'}}"
2,Dr. Mukul Sharma,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Mukul Sharma is an Ophthalmologist/ Eye Surgeon in Andheri East, Mumbai. Dr. Mukul Sharma practices at Kripa Eye Clinic in Andheri East, Mumbai and Om Shanti Manav Kalyan Netralaya in Byculla, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Mukul Sharma on Practo.com.","{'1': {'city': 'Mumbai', 'locality': 'Byculla', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '6, Khambata House, Kham Batta Lane, Byculla East. Lamdmark:  Opposite Palace Cinema, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/om-shanti-manav-kalyan-netralaya-byculla', 'clinic_timings': ' MON - SAT 9:30 AM - 11:00 AM ', 'clinic_name': 'Om Shanti Manav Kalyan Netralaya'}, '0': {'city': 'Mumbai', 'locality': 'Andheri East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '1st Floor, #3, Nitya Priya Cooperative Housing Society, Nityanand Nagar 2, S N Marg, Andheri East, Landmark:  Opposite Vihar Punjab Hotel, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/kripa-eye-clinic-andheri-east', 'clinic_timings': ' MON - SAT 6:00 PM - 8:30 PM ', 'clinic_name': 'Kripa Eye Clinic'}}"
3,Dr Nirav Davda,MS - Ophthalmology,Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr Nirav Davda is an Ophthalmologist/ Eye Surgeon in Malad, Mumbai. Dr Nirav Davda practices at Dr.Davda's Eye Clinic in Malad, Mumbai. He completed MS - Ophthalmology from Smt. NHL Municipal Medical College, Ahmedabad in 2009.<br/><br/> Some of the services provided by the doctor are: Phacoemulsification Surgery, Diabetic Retinopathy Screening/ Treatment, Diabetic Eye Checkup, Laser Refractive & Cataract Surgery and Oculoplastic Surgery etc.<br/><br/> You can get the phone number of Dr Nirav Davda on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Malad', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'D/01,Gr. Floor , Sonal Link Residency , Mith chowky signal ,Link Road ,Malad  (west), Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/dr-davda-s-eye-clinic-1-malad', 'clinic_timings': ' MON - SAT 9:30 AM - 12:00 PM4:30 PM - 8:30 PM ', 'clinic_name': ""Dr.Davda's Eye Clinic""}}"
4,Dr. Somchand Kannji Salva,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Somchand Kannji Salva is an Ophthalmologist/ Eye Surgeon in Prabhadevi, Mumbai. Dr. Somchand Kannji Salva practices at Dr S K Savla - Prabhadevi in Prabhadevi, Mumbai and Dr S K Savla - Dadar in Dadar East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Somchand Kannji Salva on Practo.com.","{'1': {'city': 'Mumbai', 'locality': 'Dadar East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Room No 11, Broadway Shopping Centre, Above Babubhai Jagjivandas Shop, Dr Ambedkar Road, Dadar East, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/dr-s-k-savla-dadar-dadar-east', 'clinic_timings': ' MON - SAT 4:00 PM - 6:00 PM ', 'clinic_name': 'Dr S K Savla - Dadar'}, '0': {'city': 'Mumbai', 'locality': 'Prabhadevi', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Block No 104, Gyaneshwar Apartment, Prabhadevi Naka, Prabhadevi, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/dr-s-k-savla-prabhadevi-prabhadevi', 'clinic_timings': ' MON - SAT 7:00 PM - 9:00 PM ', 'clinic_name': 'Dr S K Savla - Prabhadevi'}}"
5,Dr. Vimal Fudnawala,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Vimal Fudnawala is an Ophthalmologist/ Eye Surgeon in Wadala, Mumbai. Dr. Vimal Fudnawala practices at Aditya Jyot Eye Hospital in Wadala, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Vimal Fudnawala on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Wadala', 'clinic_geo_coordinates': {'latitude': 19.015128, 'longitude': 72.858064}, 'clinic_address': 'Plot No. 153, Road No. 9, Major Parmeshwaran Road. Landmark: Opposite S.I.W.S. College Gate No. 3, Wadala, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/hospital/aditya-jyot-eye-hospital-wadala', 'clinic_timings': ' MON, FRI 1:00 PM - 3:00 PM ', 'clinic_name': 'Aditya Jyot Eye Hospital'}}"
6,Dr. Bhagat Vivian Jagdishchandra,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Bhagat Vivian Jagdishchandra is an Ophthalmologist/ Eye Surgeon in Borivali East, Mumbai. Dr. Bhagat Vivian Jagdishchandra practices at Roshni Eye Hospital - Borivali East in Borivali East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Bhagat Vivian Jagdishchandra on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Borivali East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Flat No 101/102, Sagar Darshan Apartment, A Wing, Kasturba Road No 2,Borivali East. Landmark: Opposite Reliance Bill, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/roshni-eye-hospital-borivali-east-borivali-east', 'clinic_timings': ' MON - SAT 10:00 AM - 12:00 PM6:30 PM - 8:00 PM ', 'clinic_name': 'Roshni Eye Hospital - Borivali East'}}"
7,Dr Chinchalkar B C,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr Chinchalkar B C is an Ophthalmologist/ Eye Surgeon in Malad West, Mumbai. Dr Chinchalkar B C practices at Chinchalkar ENT & EYE Hospital in Malad West, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr Chinchalkar B C on Practo.com.","{'0': {'city': 'Mumbai', 'locality': 'Malad West', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Rose Manor, Marve Road, Malad West, Mumbai - 400064, Mith ChowkiLandmark:Near uncle  Kitchen, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/chinchalkar-ent-eye-hospital-malad-west', 'clinic_timings': ' MON - SAT 11:00 AM - 1:00 PM7:00 PM - 9:00 PM ', 'clinic_name': 'Chinchalkar ENT & EYE Hospital'}}"
8,Dr. Somchand Kannji Salva,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Somchand Kannji Salva is an Ophthalmologist/ Eye Surgeon in Prabhadevi, Mumbai. Dr. Somchand Kannji Salva practices at Dr S K Savla - Prabhadevi in Prabhadevi, Mumbai and Dr S K Savla - Dadar in Dadar East, Mumbai. He completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Somchand Kannji Salva on Practo.com.","{'1': {'city': 'Mumbai', 'locality': 'Dadar East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Room No 11, Broadway Shopping Centre, Above Babubhai Jagjivandas Shop, Dr Ambedkar Road, Dadar East, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/dr-s-k-savla-dadar-dadar-east', 'clinic_timings': ' MON - SAT 4:00 PM - 6:00 PM ', 'clinic_name': 'Dr S K Savla - Dadar'}, '0': {'city': 'Mumbai', 'locality': 'Prabhadevi', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Block No 104, Gyaneshwar Apartment, Prabhadevi Naka, Prabhadevi, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/dr-s-k-savla-prabhadevi-prabhadevi', 'clinic_timings': ' MON - SAT 7:00 PM - 9:00 PM ', 'clinic_name': 'Dr S K Savla - Prabhadevi'}}"
9,Dr. Priya Rajput,"MBBS, MS - Ophthalmology",Ophthalmologist/ Eye Surgeon,Not Verified,Not Scored,0.0,"Dr. Priya Rajput is an Ophthalmologist/ Eye Surgeon in Andheri East, Mumbai. Dr. Priya Rajput practices at Ravindra Joshi Medical Foundation in Andheri East, Mumbai and Sightplus Eye Care in Malad East, Mumbai. She completed MBBS and MS - Ophthalmology.<br/><br/> You can get the phone number of Dr. Priya Rajput on Practo.com.","{'1': {'city': 'Mumbai', 'locality': 'Malad East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': '#5, Onkar, Malad East Next to AxisBank, Opp Oberoi Mall, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/sightplus-eye-care-malad-east', 'clinic_timings': ' MON - SAT 10:00 AM - 1:00 PM ', 'clinic_name': 'Sightplus Eye Care'}, '0': {'city': 'Mumbai', 'locality': 'Andheri East', 'clinic_geo_coordinates': {'latitude': 'NA', 'longitude': 'NA'}, 'clinic_address': 'Saraswati Aparment, Off Parsi Panchayat Road, Vasudev Mishra Marg, Andheri East. Landmark: Near Jain Temple, Mumbai', 'clinic_url': 'https://www.practo.com/mumbai/clinic/ravindra-joshi-medical-foundation-andheri-east-1', 'clinic_timings': ' MON - SUN 1:00 PM - 2:00 PM ', 'clinic_name': 'Ravindra Joshi Medical Foundation'}}"
